f1	f2
437.4	1838.3
517.9	1659.2
449.3	2134.3
492.8	1893.9
604.9	1036.6
312.3	1773.6
651.9	1334.6
267.1	2186.1
378.1	1720.3
645.7	1603.8
242.1	1001.1
329.0	1735.5
432.9	1857.1
426.0	783.5
492.5	1922.4
524.7	1649.1
264.6	1967.4
348.0	1796.3
749.5	1529.0
200.0	2095.1
396.9	1587.6
342.9	2095.4
712.2	1449.5
512.1	1800.3
628.4	1355.3
311.7	2182.0
393.1	1820.1
330.1	1676.3
568.9	1744.1
439.1	1774.6
286.8	1493.7
491.5	1403.4
336.3	1578.0
503.6	1873.6
421.7	790.1
335.0	2053.5
520.3	1062.6
370.5	888.9
335.4	2083.6
556.7	869.4
326.2	2166.9
254.5	2233.6
381.3	1003.1
464.3	1746.4
492.5	1487.7
362.5	2241.3
519.3	1852.4
597.3	1774.1
530.4	1128.6
579.7	1214.9
684.6	1558.0
550.3	1675.7
942.8	1649.1
568.5	1586.2
627.2	1271.3
726.7	1713.9
427.4	973.1
296.4	2299.6
569.1	1707.5
276.0	2259.4
562.3	1608.8
489.9	2074.0
561.3	1261.3
788.4	1915.3
533.6	1953.6
568.3	1153.3
721.4	1766.2
406.9	906.8
393.9	1816.4
438.9	1675.2
429.8	2482.6
652.7	1419.5
741.1	1554.4
316.2	2269.4
628.3	1809.7
594.6	1025.6
659.3	1348.5
836.1	1542.7
408.0	1474.3
293.1	2309.2
524.0	1869.5
579.9	1345.5
583.0	1133.2
807.3	1555.6
377.3	2209.2
453.5	1603.6
423.7	1832.3
631.3	1009.5
704.2	1808.5
334.5	2092.0
561.1	1180.9
569.7	1953.4
457.1	1899.0
640.7	1517.3
737.4	1329.5
568.9	1744.1
564.7	1983.7
605.7	1638.1
628.3	1809.7
609.2	996.8
679.3	1517.3
585.7	1573.4
662.5	1559.4
467.5	1392.2
536.5	1640.0
638.2	1067.0
499.9	1902.8
306.3	2325.9
716.2	1355.5
608.8	1372.5
380.0	1334.9
594.5	984.9
481.5	1971.9
399.8	1680.7
351.2	2038.4
704.3	1529.0
373.3	817.2
549.5	1158.6
442.5	1494.4
573.5	1523.3
412.7	779.1
319.6	1973.8
517.1	1918.9
698.1	1739.4
525.0	1847.2
434.3	1667.9
457.0	1253.7
574.6	1996.1
502.6	1934.0
417.8	2106.4
621.8	1567.7
529.2	1774.1
344.4	1695.7
445.4	1697.2
258.2	2386.1
344.4	1312.2
635.6	1456.0
312.3	1773.6
703.5	1552.4
420.6	2079.4
367.1	1344.4
454.9	953.8
398.4	2005.4
719.3	1434.0
457.1	1899.0
578.5	1910.5
509.6	2279.0
619.0	1738.7
350.4	1862.1
596.8	1600.3
602.0	1587.5
632.2	1587.4
311.9	1839.5
338.8	2254.0
353.4	2208.0
407.4	1874.2
607.3	2004.0
451.0	1229.3
335.6	2198.2
328.4	2193.3
598.5	1719.5
646.2	1699.1
621.7	1125.8
540.1	1088.8
659.3	1348.5
478.9	2067.4
570.2	1307.1
430.5	1725.7
578.8	1433.7
530.9	2039.4
517.9	1659.2
942.8	1649.1
339.0	1816.0
674.8	1570.7
331.3	2326.9
488.7	1263.1
327.0	1384.5
298.9	1274.5
355.8	2088.5
337.9	2288.3
779.1	1330.5
433.7	2005.4
646.7	1253.4
516.8	1559.4
343.0	2067.8
352.8	1897.0
416.1	1970.8
328.5	1962.9
600.5	2029.7
578.0	1953.8
938.2	1485.5
569.6	1831.8
302.3	2174.1
586.2	1629.2
364.0	1464.2
551.1	2061.1
264.3	2359.7
585.2	1351.7
552.7	1754.3
321.3	2174.1
431.9	1702.4
388.2	2112.9
371.5	1996.7
512.7	1436.5
675.8	1388.0
363.4	1934.7
359.0	2187.2
624.8	1942.9
309.3	2064.4
604.0	1223.0
756.1	1536.6
507.4	1102.8
327.4	1921.8
525.4	1610.9
423.4	1596.0
385.1	1727.5
675.1	1658.5
648.2	1197.6
517.2	1506.5
778.8	1848.8
351.1	1606.1
732.7	1686.7
479.2	976.0
673.5	1358.1
423.0	1742.1
550.3	1675.7
942.5	1611.6
722.2	1321.8
422.0	1965.9
427.4	973.1
526.4	2033.7
990.4	1872.5
569.7	1953.4
556.4	1283.8
468.8	1315.7
613.2	2041.5
513.6	1190.9
459.0	1748.3
358.8	1615.5
518.6	1046.5
355.5	1242.3
507.4	1102.8
585.2	1351.7
550.7	1494.5
355.9	1488.0
561.9	1516.9
363.9	1989.4
555.1	958.7
766.8	2056.9
500.6	1415.7
416.1	1970.8
438.9	1675.2
580.7	983.3
408.7	1184.0
493.7	1964.5
408.9	2145.7
522.5	1268.8
445.6	1699.3
352.1	1195.4
741.8	1521.2
736.0	1586.8
385.1	868.8
768.2	1380.7
432.1	824.2
530.0	1318.0
318.4	1909.6
584.9	1312.7
442.4	1025.1
686.2	1368.3
658.0	1017.7
516.4	1012.5
551.1	2061.1
729.2	1451.1
486.4	1023.8
579.7	1214.9
496.2	1260.1
599.3	1222.4
604.6	1121.6
461.5	1939.4
438.4	1818.8
592.7	1190.3
434.5	1070.6
568.2	1807.2
667.0	1456.1
502.3	1638.9
597.2	1324.7
589.1	923.8
614.2	1465.4
366.4	1894.1
670.0	1316.9
448.8	2212.0
647.5	1542.0
415.1	2072.8
373.3	1137.6
262.8	1821.8
536.8	2051.9
380.8	2277.5
337.9	1418.3
522.5	1268.8
536.0	2078.2
421.6	1843.5
569.6	1831.8
296.8	2218.6
790.5	1612.5
661.5	1600.0
448.2	1743.3
1052.2	1522.8
509.7	1574.5
319.8	1573.0
497.9	1093.1
605.5	1740.7
597.7	1722.1
477.5	1073.1
412.2	2003.5
411.8	1981.4
527.8	1374.3
335.7	2147.6
497.4	1762.7
635.5	1703.6
612.7	1886.9
612.7	1886.9
651.3	1764.5
433.7	2005.4
461.2	1527.6
406.8	990.2
630.2	1287.7
489.2	1555.4
319.5	2430.2
676.5	1450.2
398.1	875.7
712.2	1449.5
761.5	1515.8
278.9	2226.9
445.9	1571.6
762.9	1494.1
880.5	1546.8
671.3	1572.6
445.3	1130.2
254.5	2233.6
665.3	1810.6
550.1	1812.9
346.1	1751.1
639.3	1487.6
340.6	2119.7
663.2	1545.0
561.9	1516.9
374.9	1392.9
326.9	1776.3
549.5	1896.5
522.9	1742.9
395.5	1878.7
396.9	1917.8
503.6	1873.6
605.7	1638.1
640.0	1677.2
640.4	1901.7
657.2	1582.1
707.3	1587.2
630.5	1070.7
721.8	1524.1
354.6	1908.6
283.8	1980.0
259.3	2345.7
309.3	2064.4
488.5	1502.8
380.4	1962.0
330.6	1994.1
432.1	824.2
404.5	1826.4
499.9	1902.8
462.1	2179.0
262.8	1821.8
706.4	1626.0
496.0	1439.9
410.9	1768.1
369.0	1631.8
754.7	1111.1
516.6	1499.4
317.6	1715.5
743.2	1601.5
520.8	863.7
496.2	1191.5
491.7	1291.5
289.1	2293.5
684.7	1016.9
359.1	2164.2
547.1	1766.3
600.5	2029.7
313.3	2207.9
621.3	1239.7
289.1	2437.2
326.4	1995.7
623.9	1816.1
291.0	2215.7
587.0	1661.3
519.3	1852.4
679.2	1670.0
719.9	1680.5
747.4	1650.1
416.7	2161.3
728.2	1479.9
483.6	1647.1
488.5	1502.8
704.2	1808.5
629.2	1732.4
522.9	1576.1
393.9	1816.4
379.1	2081.7
313.5	2209.8
516.1	1844.5
589.7	995.6
625.2	1453.3
817.6	1641.3
509.9	1784.0
824.1	1461.4
273.5	2015.6
598.5	1719.5
498.6	1953.6
416.3	1486.2
419.4	1859.8
315.8	1886.0
787.4	1576.3
354.6	1908.6
851.1	1658.9
334.1	2272.7
549.8	2100.0
763.8	1536.9
391.1	1143.2
611.5	2079.1
696.2	1705.0
622.0	1618.3
400.2	806.1
285.6	2208.7
708.9	1681.7
420.1	1866.0
684.6	1558.0
449.5	1020.4
707.9	1616.6
587.9	1482.0
343.0	2067.8
624.8	1942.9
629.6	1297.2
713.6	1393.8
540.1	1088.8
651.0	1360.2
369.1	1192.1
332.3	1142.0
654.1	2192.6
543.0	1039.8
266.6	2345.0
717.9	1518.2
559.0	1888.7
474.1	1033.8
554.3	1725.5
464.9	1672.2
524.5	968.4
631.7	1556.0
526.4	2033.7
760.0	1296.3
627.1	1441.5
824.9	1433.8
457.0	1253.7
524.5	968.4
328.5	1962.9
436.1	1114.3
719.9	1680.5
674.2	1659.5
270.3	1974.2
259.5	2165.7
330.6	1994.1
505.1	1701.6
317.6	1715.5
333.1	1473.1
619.1	1899.1
628.0	1387.1
556.8	982.6
371.9	2188.9
332.9	830.2
461.8	1480.5
726.3	1422.9
639.8	1855.8
522.9	1742.9
606.4	1497.3
321.5	2267.6
766.8	2056.9
261.6	2178.9
512.1	1906.9
497.9	1916.9
442.2	2032.3
515.3	1614.4
724.4	1700.7
392.9	1905.1
614.0	2009.3
656.7	1306.7
496.3	1665.3
546.4	1869.7
459.1	962.6
729.9	1126.6
526.0	1411.9
509.6	1647.6
502.3	1638.9
339.0	1816.0
404.5	1826.4
711.2	1460.4
369.8	1617.4
253.4	2239.1
936.9	1643.4
763.6	1530.8
341.1	1962.0
509.6	2279.0
655.9	1838.7
273.5	2015.6
423.6	2043.3
624.4	1175.4
419.2	1668.2
489.2	1955.1
429.8	2482.6
693.2	1431.9
628.1	1998.4
463.1	965.8
668.6	1478.4
540.0	1613.0
557.4	1124.9
578.6	1595.2
426.0	2122.5
519.1	1896.0
516.0	2030.8
291.0	2215.7
321.1	2371.0
381.1	1445.0
531.8	910.1
332.2	2008.9
445.7	1021.9
675.5	1596.4
466.7	1944.9
607.8	1626.6
464.1	1558.7
421.8	821.5
356.4	1782.6
609.2	1364.0
769.4	1617.6
296.4	2299.6
334.8	1463.6
285.0	2199.5
337.4	1517.4
683.1	1672.0
559.3	903.2
422.1	818.5
549.1	1588.9
323.6	1863.7
597.3	1774.1
365.5	2141.8
303.5	1089.7
423.4	1635.9
728.0	1481.1
497.3	1651.5
588.8	965.9
429.5	1883.3
406.9	906.8
331.3	2326.9
340.6	1124.1
313.0	1778.7
315.8	1886.0
321.1	2371.0
672.0	1898.6
727.4	1580.1
377.3	2209.2
451.3	2188.4
467.5	1392.2
370.0	2157.2
384.2	2181.6
504.3	1092.8
550.3	1759.1
389.6	909.1
873.9	1701.6
648.1	1604.3
394.9	1951.0
558.6	1784.5
721.8	1524.1
372.5	2183.6
519.6	1940.8
419.7	1746.3
447.9	1555.3
329.5	1518.3
624.4	1175.4
728.0	1481.1
644.0	1012.9
428.4	1079.6
599.8	1324.6
663.3	1440.9
766.5	1397.1
645.0	1431.5
662.5	1487.6
655.7	1448.4
553.9	1580.0
659.2	2007.5
707.3	1587.2
579.1	1451.6
526.8	1503.4
620.8	1626.7
678.3	1319.8
400.4	1666.9
589.2	1537.5
710.8	1337.5
578.3	1501.0
677.6	1623.7
346.1	1751.1
324.5	2243.6
639.7	1539.6
497.7	1796.4
654.9	1585.0
549.5	1158.6
282.4	2398.8
354.0	2138.4
748.8	1468.3
601.3	1605.8
308.5	2061.6
360.8	1909.0
637.2	1310.9
337.4	1517.4
345.9	2039.4
371.0	1672.0
524.7	1649.1
612.4	1581.5
618.9	1083.9
471.6	2212.7
431.8	1278.3
366.4	1894.1
589.1	1563.1
490.1	1587.7
266.4	1524.3
535.1	1920.9
675.1	1658.5
537.7	2272.6
448.5	979.4
412.2	2003.5
296.2	1834.4
760.0	1296.3
319.5	2206.5
563.3	2182.1
345.9	1924.0
435.8	875.8
319.5	2206.5
679.2	1670.0
646.8	1541.2
561.1	1180.9
468.5	1784.1
410.0	1942.2
520.5	1952.7
726.4	1573.6
716.5	1472.4
446.3	1030.9
590.9	1467.4
759.7	1541.0
326.9	1776.3
645.9	1642.4
384.7	2012.0
661.6	1636.4
273.2	2154.9
646.4	1355.0
807.3	1555.6
332.0	1736.3
538.6	1780.2
390.7	723.0
439.6	884.5
688.4	1736.1
377.8	2264.1
581.4	1638.1
344.0	2330.7
296.6	1763.1
265.6	1745.7
659.3	1496.1
295.2	2201.8
696.2	1705.0
615.0	1377.5
511.4	1672.0
537.9	1756.2
683.8	1613.5
410.5	2256.6
350.5	1363.6
398.0	1797.4
634.7	1209.2
645.5	1561.1
263.6	2187.2
615.0	1897.4
620.8	1626.7
404.4	1896.8
732.0	1635.3
386.5	2178.3
345.3	2074.0
247.4	1350.9
310.8	2010.6
421.0	840.9
570.4	990.8
511.4	1672.0
303.9	2231.1
415.1	1493.3
548.6	1027.6
644.6	1006.9
423.8	836.2
664.9	1501.0
475.3	1851.5
345.2	2171.5
462.8	993.1
606.7	1349.9
656.8	1219.6
549.8	1595.9
667.0	1200.7
758.3	1445.5
566.3	1803.5
463.1	965.8
415.1	1493.3
512.7	1436.5
621.2	1133.7
306.4	2051.1
507.6	1904.5
603.6	1415.7
585.9	1337.9
503.7	1777.6
